tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G5300050011800,53005011800,G5300050011702,53005011702,0.0013543703,0,0,0,0,0,0,0
G5300050011800,53005011800,G5300050011801,53005011801,0.4681721737,0.509776963,0.5087758276,0.510042605,0.5070850202,0.5057747834,0.5318428184,0.434
G5300050011800,53005011800,G5300050011802,53005011802,0.5302940545,0.4875811098,0.4886032579,0.4879255788,0.4906582853,0.4920777994,0.4653363213,0.5654087231
G5300050011800,53005011800,G5300250011406,53025011406,0,0,0,0,0,0,0,0
G5300050011800,53005011800,G5300770001701,53077001701,0.0000199331,0.000262996,0.0003824865,0.0005109088,0.0004464314,0.0004245181,0.0005687149,0.0000854508
G5300050011800,53005011800,G5300770001801,53077001801,0.0001594685,0.0023789312,0.002238428,0.0015209074,0.001810263,0.0017228991,0.0022521454,0.0005058262
G5300050011900,53005011900,G5300050010703,53005010703,0,0,0,0,0,0,0,0
G5300050011900,53005011900,G5300050011900,53005011900,1,1,1,1,1,1,1,1
G5300050012000,53005012000,G5300050010201,53005010201,0.0000000579,0,0,0,0,0,0,0
G5300050012000,53005012000,G5300050012000,53005012000,0.9999999421,1,1,1,1,1,1,1
G5300050012000,53005012000,G5300210020608,53021020608,0,0,0,0,0,0,0,0
G5300050012000,53005012000,G5300250011406,53025011406,0,0,0,0,0,0,0,0
G5300070960100,53007960100,G5300070960100,53007960100,0.9996202415,1,1,1,1,0.9999999916,1,1
G5300070960100,53007960100,G5300070960301,53007960301,0.0000001229,0,0,0,0,0,0,0
G5300070960100,53007960100,G5300070960700,53007960700,0.00000356,0,0,0,0,0,0,0
G5300070960100,53007960100,G5300470970900,53047970900,0.0000491141,0,0,0,0,0,0,0
G5300070960100,53007960100,G5300470971000,53047971000,0.0000025998,0,0,0,0,0.0000000084,0,0
G5300070960100,53007960100,G5300570951101,53057951101,0.0000291412,0,0,0,0,0,0,0
G5300070960100,53007960100,G5300570951102,53057951102,0.0002952205,0,0,0,0,0,0,0
G5300070960200,53007960200,G5300070960201,53007960201,0.1591982291,0.5869524198,0.5864253675,0.5783406587,0.5902875094,0.4023417343,0.5482077723,0.7114747748
G5300070960200,53007960200,G5300070960202,53007960202,0.1165726186,0.2566279493,0.2498528244,0.2615578976,0.2428465572,0.2802344807,0.2734089124,0.1548287009
G5300070960200,53007960200,G5300070960203,53007960203,0.723984581,0.1538953767,0.1610169492,0.1571588367,0.1641791045,0.3160593298,0.1760666994,0.1299435028
G5300070960200,53007960200,G5300070960501,53007960501,0.0002102211,0.0025242541,0.002704859,0.002942607,0.0026868289,0.0013644553,0.0023166159,0.0037530214
G5300070960200,53007960200,G5300370975101,53037975101,0.0000025963,0,0,0,0,0,0,0
G5300070960200,53007960200,G5300610053700,53061053700,0.0000303323,0,0,0,0,0,0,0
G5300070960200,53007960200,G5300610053801,53061053801,0.0000014215,0,0,0,0,0,0,0
G5300070960300,53007960300,G5300070960100,53007960100,0.0000006379,0,0,0,0,0,0,0
G5300070960300,53007960300,G5300070960301,53007960301,0.6604335915,0.3511569731,0.3519770539,0.3605125218,0.3514263074,0.4792122538,0.3772151899,0.3082627119
G5300070960300,53007960300,G5300070960302,53007960302,0.3236274338,0.4004211304,0.3820851378,0.3747004076,0.3741909368,0.241943336,0.3388729306,0.4333037013
G5300070960300,53007960300,G5300070960303,53007960303,0.0159364032,0.2484212189,0.2659369204,0.264786061,0.2743818973,0.278843936,0.283910508,0.2584335868
G5300070960300,53007960300,G5300070960400,53007960400,0.0000019336,0.0000006776,0.0000008879,0.0000010096,0.0000008585,0.0000004742,0.0000013715,0
G5300070960400,53007960400,G5300070960303,53007960303,0.0000032495,0.0000004222,0.0000005813,0.0000007761,0.0000005828,0.0000005503,0.0000009074,0
G5300070960400,53007960400,G5300070960400,53007960400,0.9999967505,0.9999995778,0.9999994187,0.9999992239,0.9999994172,0.9999994497,0.9999990926,1
G5300070960500,53007960500,G5300070960501,53007960501,0.2436736942,0.3980383546,0.3975179368,0.4010899183,0.4012713548,0.3968858131,0.3857142857,0.4367666232
G5300070960500,53007960500,G5300070960502,53007960502,0.7559478799,0.6016678314,0.602092875,0.5983651226,0.5983299476,0.6027098447,0.6137142857,0.5632287851
G5300070960500,53007960500,G5300070960700,53007960700,0.0000725228,0.0002927829,0.0003878224,0.0005449591,0.0003972984,0.0003460208,0.0005714286,0
G5300070960500,53007960500,G5300370975101,53037975101,0.0002620144,0.0000010311,0.0000013658,0,0.0000013992,0.0000583214,0,0.0000045917
G5300070960500,53007960500,G5300370975300,53037975300,0.0000438887,0,0,0,0,0,0,0
G5300070960600,53007960600,G5300070960600,53007960600,1,1,1,1,1,1,1,1
G5300070960700,53007960700,G5300070960501,53007960501,0.0058933273,0,0,0,0,0,0,0
G5300070960700,53007960700,G5300070960700,53007960700,0.9941066727,1,1,1,1,1,1,1
G5300070960801,53007960801,G5300070960801,53007960801,0.9985945116,0.9943735934,0.9946601942,0.9949748744,0.9962441315,0.9964125561,0.9955752212,1
G5300070960801,53007960801,G5300070961304,53007961304,0.0014054884,0.0056264066,0.0053398058,0.0050251256,0.0037558685,0.0035874439,0.0044247788,0
G5300070960802,53007960802,G5300070960803,53007960803,0.2594660593,0.4107192447,0.413754853,0.3716409377,0.4232698094,0.4163801188,0.3505632869,0.4973009447
G5300070960802,53007960802,G5300070960804,53007960804,0.7405339407,0.5892807553,0.586245147,0.6283590623,0.5767301906,0.5836198812,0.6494367131,0.5026990553
G5300070961000,53007961000,G5300070961001,53007961001,0.3032341881,0.4452941176,0.4645607108,0.448103078,0.418447694,0.4125217391,0.5541666667,0.3421206796
G5300070961000,53007961000,G5300070961002,53007961002,0.6967658119,0.5547058824,0.5354392892,0.551896922,0.581552306,0.5874782609,0.4458333333,0.6578793204
G5300070961100,53007961100,G5300070961101,53007961101,0.2236928447,0.4692580242,0.4655777744,0.4473447345,0.4638395792,0.4705159705,0.3658129176,0.6051364366
G5300070961100,53007961100,G5300070961102,53007961102,0.7742181844,0.5307419758,0.5344222256,0.5526552655,0.5361604208,0.5294840295,0.6341870824,0.3948635634
G5300070961100,53007961100,G5300070961200,53007961200,0.0020889709,0,0,0,0,0,0,0
G5300070961200,53007961200,G5300070961102,53007961102,0.0000516676,0,0,0,0,0,0,0
G5300070961200,53007961200,G5300070961200,53007961200,0.9998998631,1,1,1,1,1,1,1
G5300070961200,53007961200,G5300370975300,53037975300,0.0000484693,0,0,0,0,0,0,0
G5300070961301,53007961301,G5300070961301,53007961301,1,1,1,1,1,1,1,1
G5300070961302,53007961302,G5300070960801,53007960801,0.0012393426,0.0008837268,0.0008248103,0.0009492169,0.0009104704,0.0014392631,0.0009272137,0.0008787346
G5300070961302,53007961302,G5300070961301,53007961301,0.0007992238,0.0039136473,0.0039590894,0.004271476,0.0036418816,0.0037420841,0.0050996755,0.0008787346
G5300070961302,53007961302,G5300070961303,53007961303,0.0696808364,0.4779699533,0.4716265259,0.4551495017,0.4952959029,0.4979850317,0.4496986555,0.5817223199
G5300070961302,53007961302,G5300070961304,53007961304,0.9282805972,0.5172326726,0.5235895744,0.5396298054,0.5001517451,0.4968336212,0.5442744553,0.4165202109
G5300090000200,53009000200,G5300090002400,53009002400,0.9995852608,0.9994695696,0.9995618789,0.9985641334,0.999180926,0.9989381466,0.9992144872,0.9991043964
G5300090000200,53009000200,G5300090940000,53009940000,0.0004147392,0.0005304304,0.0004381211,0.0014358666,0.000819074,0.0010618534,0.0007855128,0.0008956036
G5300090000300,53009000300,G5300090000300,53009000300,0.9673777402,1,1,1,1,1,1,1
G5300090000300,53009000300,G5300090002400,53009002400,0.0326222598,0,0,0,0,0,0,0
G5300090000400,53009000400,G5300090000300,53009000300,0.0000021558,0,0,0,0,0,0,0
G5300090000400,53009000400,G5300090002400,53009002400,0.9999940367,1,1,1,1,1,1,1
G5300090000400,53009000400,G5300310950702,53031950702,0.0000038075,0,0,0,0,0,0,0
G5300090000600,53009000600,G5300090000600,53009000600,0.9997898769,1,1,1,1,1,1,1
G5300090000600,53009000600,G5300090001500,53009001500,0.0002101231,0,0,0,0,0,0,0
G5300090000700,53009000700,G5300090000700,53009000700,0.9972467159,1,1,1,1,1,1,1
G5300090000700,53009000700,G5300090001500,53009001500,0.0027532841,0,0,0,0,0,0,0
G5300090000800,53009000800,G5300090000800,53009000800,1,1,1,1,1,1,1,1
G5300090000900,53009000900,G5300090000900,53009000900,1,1,1,1,1,1,1,1
G5300090001000,53009001000,G5300090000900,53009000900,0.0005237475,0,0,0,0,0,0,0
G5300090001000,53009001000,G5300090001000,53009001000,0.9994762525,1,1,1,1,1,1,1
G5300090001100,53009001100,G5300090001100,53009001100,0.99995962,1,1,1,1,1,1,1
G5300090001100,53009001100,G5300090001500,53009001500,0.00004038,0,0,0,0,0,0,0
G5300090001200,53009001200,G5300090001200,53009001200,0.9982375038,0.9984089101,0.9980707395,0.998980632,0.9982598608,0.9984391259,0.9980449658,0.9985734665
G5300090001200,53009001200,G5300090001300,53009001300,0.0017624962,0.0015910899,0.0019292605,0.001019368,0.0017401392,0.0015608741,0.0019550342,0.0014265335
G5300090001300,53009001300,G5300090001300,53009001300,1,1,1,1,1,1,1,1
G5300090001400,53009001400,G5300090001300,53009001300,0.0006222279,0.0035209625,0.0038992861,0.003872733,0.0036225198,0.0036387362,0.00307008,0.0068766727
G5300090001400,53009001400,G5300090001400,53009001400,0.9993777721,0.9964790375,0.9961007139,0.996127267,0.9963774802,0.9963612638,0.99692992,0.9931233273
G5300090001500,53009001500,G5300090000600,53009000600,0.0000855368,0,0,0,0,0,0,0
G5300090001500,53009001500,G5300090000700,53009000700,0.0002239278,0,0,0,0,0,0,0
G5300090001500,53009001500,G5300090001100,53009001100,0.0000010638,0,0,0,0,0,0,0
G5300090001500,53009001500,G5300090001400,53009001400,0.0001106199,0,0,0,0,0,0,0
G5300090001500,53009001500,G5300090001500,53009001500,0.9985642081,1,1,1,1,0.9989384289,1,1
G5300090001500,53009001500,G5300090001800,53009001800,0.0010146436,0,0,0,0,0.0010615711,0,0
G5300090001600,53009001600,G5300090001600,53009001600,1,1,1,1,1,1,1,1
G5300090001700,53009001700,G5300090001701,53009001701,0.3352147064,0.3766595289,0.3633408352,0.3499658237,0.3685661765,0.3553820871,0.3462588749,0.4869565217
G5300090001700,53009001700,G5300090001702,53009001702,0.6432155767,0.5552462527,0.5593898475,0.5816814764,0.5431985294,0.5579293344,0.5548880393,0.4811594203
G5300090001700,53009001700,G5300090001800,53009001800,0.0215697169,0.0680942184,0.0772693173,0.0683526999,0.0882352941,0.0866885785,0.0988530857,0.031884058
G5300090001800,53009001800,G5300090001800,53009001800,0.999996801,0.9999772539,0.9999774584,0.9999773789,0.9999772557,0.999976029,0.999978658,0.9999687984
G5300090001800,53009001800,G5300090002302,53009002302,0.000003199,0.0000227461,0.0000225416,0.0000226211,0.0000227443,0.000023971,0.000021342,0.0000312016
G5300090001900,53009001900,G5300090001901,53009001901,0.4621858557,0.5216933076,0.5085771948,0.5185390149,0.4909694066,0.4650098103,0.4995602463,0.4464692483
G5300090001900,53009001900,G5300090001902,53009001902,0.5376814273,0.4783066924,0.4914228052,0.4814609851,0.5090305934,0.5349901897,0.5004397537,0.5535307517
G5300090001900,53009001900,G5300090002001,53009002001,0.0000521369,0,0,0,0,0,0,0
G5300090001900,53009001900,G5300090002002,53009002002,0.0000805801,0,0,0,0,0,0,0
G5300090002000,53009002000,G5300090001902,53009001902,0.1000461515,0.0163425502,0.01561398,0.0166807282,0.0132270278,0.0134045559,0.0124553996,0.0151955323
G5300090002000,53009002000,G5300090002001,53009002001,0.291115905,0.4894244625,0.5048345689,0.4522985914,0.5406430617,0.5281762001,0.482942543,0.6878431417
